id,hhid,wt88,coll,hgc23,yearsr,fatherdec,offer
672,671,146468,1,14,81,Father not deceased,1
673,673,155444,0,12,79,Father not deceased,1
675,673,159496,0,11,82,Father not deceased,0
676,673,204788,0,12,83,Father not deceased,0
677,677,126547,0,12,79,Father not deceased,1
681,679,149345,0,12,81,Father not deceased,1
682,679,140451,1,12,81,Father not deceased,1
683,683,138589,1,14,79,Father not deceased,1
685,684,457117,0,12,81,Father not deceased,1
686,684,518303,1,16,81,Father not deceased,1
689,688,617910,1,12,83,Father not deceased,0
690,690,457117,1,12,80,Father not deceased,1
695,695,576580,0,12,79,Father not deceased,1
696,695,577863,0,12,81,Father not deceased,1
707,707,460879,1,14,80,Father not deceased,1
711,710,586519,0,12,79,Father not deceased,1
713,713,629557,0,12,81,Father not deceased,1
714,713,618825,0,11,83,Father not deceased,0
716,715,651800,0,12,79,Father not deceased,1
721,719,588330,0,12,79,Father not deceased,1
723,722,550089,0,12,80,Father not deceased,1
724,724,521270,1,14,79,Father not deceased,1
725,724,542984,1,16,81,Father not deceased,1
726,726,521270,0,12,79,Father not deceased,1
727,726,578601,0,12,82,Father not deceased,0
733,731,588636,0,13,82,Father not deceased,0
734,734,115775,0,12,81,Father not deceased,1
736,735,588636,0,11,82,Father not deceased,0
740,740,550089,1,12,80,Father not deceased,1
746,746,535123,0,12,79,Father not deceased,1
747,746,557413,0,12,81,Father not deceased,1
751,750,596964,1,16,81,Father not deceased,1
754,753,290763,1,14,83,Father not deceased,0
755,755,112768,0,12,79,Father not deceased,1
756,755,152586,0,12,83,Father not deceased,0
759,758,207883,0,12,80,Father not deceased,1
760,758,219215,0,12,80,Father not deceased,1
762,762,95931,0,12,79,Father not deceased,1
763,762,128741,0,12,81,Father not deceased,1
764,762,85083,0,12,81,Father not deceased,1
765,762,136064,0,12,83,Father not deceased,0
769,769,763125,0,12,79,Father not deceased,1
774,774,763125,1,12,79,Father not deceased,1
776,776,837299,1,16,79,Father not deceased,1
777,776,657938,1,16,80,Father not deceased,1
778,776,794940,1,16,82,Father not deceased,0
779,779,634411,1,14,82,Father deceased,0
791,791,549689,0,12,82,Father not deceased,0
795,794,633975,0,12,81,Father not deceased,1
797,796,664416,0,12,80,Father not deceased,1
799,798,591972,0,12,82,Father not deceased,0
800,800,605557,0,12,79,Father not deceased,1
802,801,664416,1,12,81,Father not deceased,1
804,803,626278,0,12,82,Father not deceased,0
806,806,658531,0,12,79,Father not deceased,1
807,806,528832,1,16,80,Father not deceased,1
808,806,662409,1,13,82,Father not deceased,0
817,817,645903,1,14,82,Father not deceased,0
820,820,604157,1,16,79,Father not deceased,1
823,823,698849,1,13,80,Father not deceased,1
828,828,558109,1,14,80,Father not deceased,1
830,830,188085,0,12,79,Father deceased,1
831,831,163690,0,12,81,Father not deceased,1
832,832,201626,0,12,80,Father not deceased,1
833,832,254766,0,12,83,Father not deceased,0
843,843,524315,0,12,80,Father not deceased,1
844,843,614383,0,12,81,Father not deceased,1
850,848,721119,1,13,80,Father not deceased,1
854,853,547617,0,12,81,Father not deceased,1
857,855,547617,1,13,80,Father not deceased,1
859,859,656416,0,12,79,Father not deceased,1
860,859,720218,0,12,80,Father not deceased,1
861,859,547617,1,12,80,Father not deceased,1
864,863,565937,1,16,80,Father not deceased,1
866,866,644426,0,12,83,Father not deceased,0
867,867,681604,0,12,82,Father not deceased,0
868,868,690099,0,13,79,Father not deceased,1
870,870,722484,0,12,82,Father not deceased,0
873,872,541854,1,16,80,Father not deceased,1
874,872,614383,1,16,81,Father not deceased,1
877,875,548853,1,16,80,Father not deceased,1
878,875,652600,0,12,82,Father not deceased,0
879,879,617004,1,14,82,Father not deceased,0
882,881,541854,1,16,80,Father not deceased,1
883,881,617004,1,15,82,Father not deceased,0
885,885,689570,1,14,80,Father not deceased,1
886,886,543136,1,15,79,Father not deceased,1
887,886,543136,1,16,79,Father not deceased,1
895,895,511374,1,16,79,Father not deceased,1
897,896,578511,1,14,81,Father not deceased,1
898,896,636199,1,16,82,Father not deceased,0
900,899,512304,1,14,79,Father deceased,1
902,902,558713,1,15,81,Father not deceased,1
903,903,558713,0,14,79,Father not deceased,1
904,904,594967,1,15,81,Father not deceased,1
905,905,540626,0,12,80,Father not deceased,1
908,907,711024,1,16,80,Father not deceased,1
909,907,636199,1,15,82,Father not deceased,0
913,912,544761,1,15,81,Father not deceased,1
914,914,111442,0,12,79,Father not deceased,1
915,914,150791,1,13,82,Father not deceased,0
918,917,506521,0,12,81,Father not deceased,1
920,919,448619,1,16,80,Father not deceased,1
921,919,542034,0,12,82,Father not deceased,0
923,922,448553,0,12,79,Father not deceased,1
924,924,570918,1,16,79,Father not deceased,1
928,928,110681,0,11,79,Father not deceased,1
929,929,590679,0,12,82,Father not deceased,0
933,933,127813,0,12,80,Father not deceased,1
936,935,469060,1,14,79,Father not deceased,1
937,935,455676,1,14,80,Father not deceased,1
938,935,546274,0,12,81,Father not deceased,1
942,942,449799,0,12,79,Father not deceased,1
946,945,423697,1,16,80,Father not deceased,1
949,949,478382,0,12,81,Father not deceased,1
950,949,526085,0,12,82,Father not deceased,0
951,951,514497,0,12,81,Father not deceased,1
954,954,463102,1,16,79,Father not deceased,1
956,955,480410,1,13,81,Father not deceased,1
957,957,539201,0,12,80,Father not deceased,1
960,959,563709,1,15,79,Father not deceased,1
961,959,442955,1,16,80,Father not deceased,1
963,962,467374,0,12,80,Father not deceased,1
966,965,467374,0,12,81,Father not deceased,1
967,965,500126,0,12,82,Father not deceased,0
968,968,513772,0,12,79,Father not deceased,1
971,969,467374,0,12,80,Father not deceased,1
972,969,500126,0,12,81,Father not deceased,1
973,973,442955,1,12,80,Father not deceased,1
975,974,584257,0,12,82,Father not deceased,0
977,976,504429,0,12,82,Father not deceased,0
982,980,516588,0,12,81,Father not deceased,1
986,986,163386,1,15,82,Father not deceased,0
991,989,504654,0,12,81,Father not deceased,1
994,994,609860,0,13,79,Father not deceased,1
996,996,555834,0,12,79,Father not deceased,1
997,997,608245,0,12,83,Father not deceased,0
999,999,698220,0,13,81,Father deceased,1
1000,1000,136900,0,12,79,Father not deceased,1
1002,1001,136401,0,12,82,Father not deceased,0
1003,1003,547710,1,16,82,Father not deceased,0
1010,1010,608565,1,16,82,Father not deceased,0
1011,1011,571104,0,12,81,Father not deceased,1
1012,1012,503684,0,12,81,Father not deceased,1
1013,1012,608565,0,13,82,Father not deceased,0
1015,1015,587557,1,14,80,Father not deceased,1
1017,1016,580618,1,16,79,Father deceased,1
1018,1016,731315,1,16,82,Father deceased,0
1019,1019,691426,1,16,82,Father not deceased,0
1021,1021,528467,1,14,83,Father not deceased,0
1022,1021,588479,1,17,80,Father not deceased,1
1024,1024,587557,1,16,80,Father not deceased,1
1028,1027,134263,0,11,83,Father not deceased,0
1036,1036,521137,0,12,81,Father not deceased,1
1038,1037,613265,1,14,82,Father not deceased,0
1044,1044,599058,0,12,83,Father not deceased,0
1046,1045,562182,1,15,81,Father not deceased,1
1049,1049,536464,1,16,80,Father not deceased,1
1050,1050,508359,1,14,79,Father deceased,1
1051,1051,649538,1,18,79,Father not deceased,1
1052,1052,510398,1,17,80,Father not deceased,1
1053,1052,578716,1,16,81,Father not deceased,1
1058,1058,151452,0,12,82,Father not deceased,0
1071,1071,172863,0,12,81,Father not deceased,1
1074,1073,172863,1,12,80,Father not deceased,1
1076,1076,170896,1,14,82,Father not deceased,0
1081,1081,808588,1,14,80,Father not deceased,1
1082,1081,680595,1,16,80,Father not deceased,1
1086,1086,602705,1,16,79,Father not deceased,1
1087,1086,680595,1,15,81,Father not deceased,1
1092,1091,641643,0,12,81,Father deceased,1
1095,1095,727529,0,12,81,Father not deceased,1
1100,1097,659176,1,14,80,Father not deceased,1
1105,1103,624643,1,14,79,Father not deceased,1
1106,1103,775706,1,13,82,Father not deceased,0
1109,1108,658504,1,14,80,Father not deceased,1
1110,1110,554711,0,12,80,Father not deceased,1
1112,1112,147808,0,12,83,Father not deceased,0
1116,1116,124816,1,14,79,Father not deceased,1
1117,1117,101549,0,13,79,Father not deceased,1
1118,1118,100899,0,12,81,Father not deceased,1
1127,1127,172437,1,13,79,Father not deceased,1
1129,1129,501141,0,12,79,Father not deceased,1
1132,1131,109901,0,12,80,Father not deceased,1
1134,1133,612257,0,11,81,Father not deceased,1
1135,1133,541116,1,17,82,Father not deceased,0
1136,1136,97249,1,16,81,Father not deceased,1
1139,1139,507181,1,16,79,Father not deceased,1
1144,1142,649007,1,13,79,Father not deceased,1
1146,1146,649007,1,16,79,Father not deceased,1
1147,1147,429153,0,12,79,Father not deceased,1
1149,1148,136401,0,12,81,Father not deceased,1
1159,1158,126547,1,14,79,Father not deceased,1
1160,1158,140451,1,14,81,Father not deceased,1
1162,1162,160365,1,13,82,Father not deceased,0
1167,1167,584059,1,17,80,Father not deceased,1
1168,1168,137837,0,12,80,Father not deceased,1
1170,1169,539366,0,12,79,Father not deceased,1
1176,1176,668812,1,16,82,Father not deceased,0
1177,1177,575569,1,16,79,Father not deceased,1
1186,1184,586644,1,15,80,Father not deceased,1
1188,1187,594222,1,15,80,Father not deceased,1
1191,1189,149024,1,14,79,Father deceased,1
1192,1189,167324,1,13,80,Father deceased,1
1193,1189,221936,1,12,82,Father deceased,0
1195,1195,143295,1,16,80,Father not deceased,1
1197,1197,620520,1,15,82,Father not deceased,0
1201,1201,163691,1,15,79,Father not deceased,1
1213,1213,138515,0,11,80,Father not deceased,1
1214,1213,163012,0,12,82,Father deceased,0
1215,1213,155525,0,12,81,Father not deceased,1
1217,1216,155525,0,12,82,Father not deceased,0
1218,1216,206285,1,13,82,Father deceased,0
1220,1219,147824,0,12,82,Father not deceased,0
1221,1221,145865,0,12,79,Father not deceased,1
1222,1221,153087,0,12,82,Father not deceased,0
1223,1221,163012,1,13,83,Father not deceased,0
1228,1228,518471,0,12,79,Father not deceased,1
1229,1228,538921,0,12,80,Father not deceased,1
1231,1231,585474,1,16,81,Father not deceased,1
1234,1234,472049,1,14,79,Father not deceased,1
1235,1234,435038,1,12,80,Father not deceased,1
1239,1239,548731,1,13,80,Father not deceased,1
1240,1240,533053,1,15,81,Father not deceased,1
1246,1246,498146,0,12,80,Father not deceased,1
1248,1248,435038,0,12,80,Father not deceased,1
1253,1252,562667,1,12,81,Father not deceased,1
1254,1254,498273,0,12,79,Father not deceased,1
1255,1254,525820,1,14,80,Father not deceased,1
1258,1258,519049,1,14,80,Father not deceased,1
1267,1266,514678,0,12,81,Father not deceased,1
1270,1269,132039,1,16,80,Father not deceased,1
1271,1271,605742,1,12,81,Father not deceased,1
1276,1276,622972,0,12,82,Father not deceased,0
1277,1277,666146,1,14,82,Father not deceased,0
1281,1280,605742,1,16,81,Father not deceased,1
1283,1283,605742,1,15,81,Father not deceased,1
1286,1286,131606,1,15,79,Father not deceased,1
1287,1286,155886,1,14,81,Father not deceased,1
1289,1289,153443,0,12,81,Father not deceased,1
1292,1292,206764,0,12,81,Father not deceased,1
1294,1293,153443,0,12,81,Father not deceased,1
1296,1296,498146,0,12,80,Father not deceased,1
1303,1303,528268,1,16,81,Father not deceased,1
1304,1303,620029,1,14,82,Father not deceased,0
1309,1309,553634,1,13,79,Father not deceased,1
1310,1309,472049,1,15,79,Father not deceased,1
1313,1313,131606,0,12,79,Father not deceased,1
1314,1313,155886,0,11,80,Father not deceased,1
1315,1315,528492,1,14,82,Father not deceased,0
1319,1318,437411,0,12,82,Father not deceased,0
1323,1323,549952,1,16,80,Father not deceased,1
1324,1324,549952,1,15,80,Father not deceased,1
1327,1327,520324,0,12,79,Father not deceased,1
1331,1331,551724,1,15,79,Father not deceased,1
1333,1333,158055,0,12,79,Father not deceased,1
1338,1338,502906,0,12,79,Father not deceased,1
1346,1345,502219,0,12,80,Father not deceased,1
1347,1347,589800,1,14,79,Father not deceased,1
1348,1348,623384,1,16,80,Father not deceased,1
1349,1349,630980,1,13,79,Father not deceased,1
1350,1349,562181,0,12,81,Father not deceased,1
1351,1349,562181,0,12,83,Father not deceased,0
1353,1353,602071,0,12,81,Father not deceased,1
1356,1356,552584,1,16,80,Father not deceased,1
1364,1364,473416,1,15,81,Father not deceased,1
1368,1366,531352,1,16,79,Father not deceased,1
1369,1369,531352,0,12,79,Father not deceased,1
1370,1369,616789,0,12,83,Father not deceased,0
1372,1371,422922,1,16,80,Father not deceased,1
1373,1373,531352,1,13,80,Father not deceased,1
1374,1373,560860,1,14,81,Father not deceased,1
1378,1376,143570,1,13,80,Father deceased,1
1379,1379,187722,1,15,82,Father deceased,0
1380,1380,143570,0,12,81,Father not deceased,1
1384,1383,134263,0,12,81,Father not deceased,1
1385,1383,168960,1,13,82,Father not deceased,0
1386,1386,166037,0,12,80,Father not deceased,1
1388,1387,160098,0,12,82,Father not deceased,0
1389,1389,160098,1,15,82,Father not deceased,0
1395,1395,595914,1,16,81,Father not deceased,1
1396,1396,503005,0,12,82,Father not deceased,0
1398,1398,140495,1,13,80,Father deceased,1
1399,1399,113714,1,14,80,Father not deceased,1
1402,1402,106353,1,17,81,Father not deceased,1
1404,1403,144833,1,13,82,Father not deceased,0
1408,1408,585922,1,14,81,Father not deceased,1
1412,1412,534500,0,12,80,Father not deceased,1
1418,1418,153072,0,12,83,Father not deceased,0
1425,1425,462761,0,12,81,Father not deceased,1
1426,1426,614674,0,12,80,Father not deceased,1
1427,1427,723338,1,13,82,Father deceased,0
1430,1429,617255,1,15,80,Father not deceased,1
1432,1432,202934,1,16,79,Father not deceased,1
1433,1432,179017,1,16,81,Father not deceased,1
1434,1434,588914,0,11,80,Father not deceased,1
1439,1438,161976,1,12,80,Father not deceased,1
1440,1440,155749,1,13,80,Father not deceased,1
1442,1441,178017,0,12,82,Father not deceased,0
1443,1443,129508,0,12,81,Father not deceased,1
1449,1449,106836,0,12,79,Father not deceased,1
1454,1454,149909,0,12,82,Father not deceased,0
1473,1473,679875,0,12,79,Father not deceased,1
1476,1476,664623,1,13,81,Father not deceased,1
1479,1479,781085,1,17,79,Father not deceased,1
1487,1487,150891,0,13,80,Father not deceased,1
1490,1490,167470,0,12,82,Father not deceased,0
1491,1491,156924,0,12,80,Father not deceased,1
1501,1501,706741,1,16,81,Father not deceased,1
1502,1501,813652,1,16,82,Father not deceased,0
1503,1503,753100,1,16,82,Father not deceased,0
1507,1506,625417,0,12,79,Father not deceased,1
1510,1510,706242,1,16,81,Father not deceased,1
1512,1512,683685,1,15,79,Father not deceased,1
1515,1514,568219,0,12,80,Father not deceased,1
1517,1517,273150,0,12,79,Father not deceased,1
1518,1517,268385,0,12,80,Father not deceased,1
1521,1520,247869,0,12,79,Father not deceased,1
1523,1520,294639,0,12,82,Father not deceased,0
1530,1529,173102,1,14,83,Father not deceased,0
1531,1531,667388,0,12,80,Father not deceased,1
1532,1531,785369,0,12,80,Father not deceased,1
1533,1533,105826,0,12,81,Father not deceased,1
1538,1538,113889,1,14,80,Father not deceased,1
1540,1540,113889,1,15,81,Father not deceased,1
1541,1541,555540,0,12,79,Father not deceased,1
1545,1541,774096,0,12,79,Father not deceased,1
1555,1554,675902,1,14,79,Father not deceased,1
1556,1554,531115,0,12,81,Father not deceased,1
1557,1557,531115,0,12,80,Father not deceased,1
1560,1560,750591,0,12,80,Father not deceased,1
1565,1564,668751,1,16,81,Father not deceased,1
1568,1567,499751,0,12,79,Father not deceased,1
1571,1569,527379,0,12,80,Father not deceased,1
1574,1574,592572,1,16,80,Father not deceased,1
1576,1575,540078,0,12,79,Father not deceased,1
1579,1579,494423,0,12,80,Father not deceased,1
1580,1579,540136,0,11,81,Father not deceased,1
1581,1581,522576,0,11,79,Father not deceased,1
1585,1585,493063,0,12,81,Father not deceased,1
1586,1585,572990,0,12,82,Father not deceased,0
1588,1587,627478,1,14,79,Father not deceased,1
1589,1589,529144,1,15,80,Father not deceased,1
1590,1590,627478,0,12,80,Father not deceased,1
1591,1590,559061,0,12,81,Father not deceased,1
1597,1597,454509,0,12,80,Father not deceased,1
1598,1597,580856,0,12,82,Father not deceased,0
1601,1601,454509,1,13,80,Father not deceased,1
1602,1601,549151,0,12,82,Father not deceased,0
1611,1611,542004,0,12,82,Father not deceased,0
1612,1612,570886,0,12,80,Father not deceased,1
1613,1612,542004,1,13,82,Father not deceased,0
1618,1618,602402,0,12,79,Father not deceased,1
1619,1619,549037,1,16,79,Father not deceased,1
1621,1621,550092,1,15,81,Father not deceased,1
1624,1624,514876,1,16,80,Father not deceased,1
1625,1624,565739,1,16,81,Father not deceased,1
1626,1626,515422,1,15,81,Father not deceased,1
1629,1628,467807,0,12,79,Father not deceased,1
1630,1628,515422,1,15,82,Father not deceased,0
1631,1631,464913,0,12,80,Father not deceased,1
1632,1631,527143,1,18,81,Father not deceased,1
1633,1631,594153,1,16,82,Father not deceased,0
1635,1634,464913,0,12,81,Father not deceased,1
1636,1634,464913,0,12,81,Father deceased,1
1639,1638,504896,1,16,81,Father not deceased,1
1646,1646,142414,1,14,82,Father not deceased,0
1650,1649,84907,0,12,80,Father not deceased,1
1651,1651,106627,0,12,80,Father not deceased,1
1652,1652,591574,1,13,80,Father not deceased,1
1658,1656,624279,1,16,80,Father not deceased,1
1659,1656,614183,0,14,82,Father deceased,0
1661,1660,624279,0,12,80,Father not deceased,1
1662,1660,624279,0,12,80,Father not deceased,1
1666,1664,97845,0,14,81,Father not deceased,1
1667,1667,549111,0,11,83,Father not deceased,0
