nifa,net_tfa,tw,age,inc,fsize,educ,db,marr,twoearn,e401,p401,pira,hown
400,400,9400,25,26535,2,14,0,1,0,0,0,0,0
1000,-3000,6000,39,48360,4,13,0,1,1,0,0,0,1
8500,5000,37875,41,31635,2,13,0,0,0,0,0,0,1
25104,24654,100904,52,40041,3,14,0,0,0,0,0,0,1
0,-5000,-1075,43,22410,1,12,1,0,0,0,0,0,0
700,700,700,37,27072,5,9,0,1,1,0,0,0,0
0,0,78550,47,21420,1,13,0,0,0,0,0,0,1
5150,3550,21425,57,34410,3,15,0,1,1,0,0,0,1
100,-3900,44100,36,23700,4,12,0,1,1,0,0,0,1
100,-7350,-7350,30,19950,3,14,0,1,0,0,0,0,0
750,-2450,-1950,29,23274,3,12,0,0,0,0,0,0,0
22300,41800,86800,54,20019,3,13,0,1,0,0,0,1,1
0,-200,1050,47,1200,2,15,0,0,0,0,0,0,0
1097,16597,139597,51,85980,2,18,0,1,0,0,0,1,1
5483,4883,69883,44,26472,4,12,0,1,0,0,0,0,1
9000,8300,109300,61,37911,5,12,0,1,1,0,0,0,1
50,-550,12950,30,15822,4,15,0,1,0,0,0,0,1
11730,11730,234730,48,77913,2,14,1,1,1,0,0,0,1
61550,90550,256350,39,159696,2,16,0,1,1,0,0,1,1
500,-5500,-3834,36,25200,4,12,0,0,0,0,0,0,0
11763,9918,36418,39,23046,1,14,0,0,0,0,0,1,1
380,-120,2680,26,15450,3,12,0,0,0,0,0,0,1
2050,2050,61550,37,25920,1,18,0,0,0,0,0,0,0
100,-3900,28100,37,13839,1,16,0,0,0,0,0,0,1
398,-1002,11473,32,10164,5,12,0,0,0,0,0,0,1
400,-3600,8350,30,27624,1,12,1,0,0,0,0,0,1
35,-12465,204535,50,41217,4,7,0,1,1,0,0,0,1
6,-6994,-6994,45,35565,3,12,0,0,0,0,0,0,0
1825,-10275,9433,30,57000,2,14,0,1,1,0,0,0,1
6500,5000,193000,41,54852,5,12,1,1,1,0,0,0,1
160,-19840,-19840,31,25002,4,12,0,1,1,0,0,0,0
2135,1384,35564,30,46398,4,16,0,1,1,0,0,0,1
16000,0,49000,46,18000,2,14,0,0,0,0,0,1,1
21000,20700,372700,38,33576,4,10,0,1,0,0,0,0,1
3050,2250,3525,25,3150,1,16,0,0,0,0,0,0,0
67498,59498,59498,46,64203,5,12,1,1,1,0,0,0,0
210,10,5606,29,16194,3,12,0,0,0,0,0,0,1
2000,1400,26400,58,14400,5,4,0,1,0,0,0,0,1
8100,10600,16600,46,41622,5,11,0,1,0,0,0,1,1
32,-1068,53932,42,60384,4,12,0,1,1,0,0,0,1
43000,41302,136302,63,46122,2,13,0,1,0,0,0,0,1
9725,10055,74055,34,41757,4,12,0,1,0,0,0,1,1
600,-100,54900,40,58320,3,12,0,1,1,0,0,0,1
100,-5100,-2718,35,38244,3,16,0,1,1,0,0,0,0
250,-550,9450,43,14292,3,12,0,1,0,0,0,0,1
0,-1400,23600,37,24231,4,13,0,1,1,0,0,0,1
800,800,7800,32,25314,1,12,0,0,0,0,0,0,0
53,-1847,-1347,54,4917,1,11,0,0,0,0,0,0,0
1150,-50,32792,30,12051,1,18,0,0,0,0,0,0,0
3000,3000,63000,53,30780,4,8,1,1,1,0,0,0,1
50000,62800,378600,57,61500,3,13,0,1,0,0,0,1,1
3000,-9100,4700,29,49200,2,17,0,1,1,0,0,0,1
0,0,0,49,11730,6,4,0,1,0,0,0,0,0
24999,24999,224999,49,63396,3,16,0,1,0,0,0,0,1
10,10,2010,34,7329,1,16,0,0,0,0,0,0,0
0,0,0,26,17952,1,15,0,0,0,0,0,0,0
0,0,500,37,18942,4,14,0,0,0,0,0,0,0
800,-5000,35000,25,27480,3,12,0,1,1,0,0,0,1
20,20,60520,57,6885,2,12,0,0,0,0,0,0,1
200,200,3025,28,17370,1,12,0,0,0,0,0,0,0
0,0,0,32,37593,4,16,1,1,1,0,0,0,0
105,-1345,-1345,63,16575,2,11,0,1,1,0,0,0,0
250,-3250,22250,27,29766,2,14,0,1,0,0,0,0,1
4050,11700,195500,38,77124,1,17,0,0,0,0,0,1,1
3720,3720,25220,60,2307,2,10,0,0,0,0,0,0,1
400,-1600,-1600,28,29922,6,11,0,1,1,0,0,0,1
22600,26600,91600,38,80550,2,18,0,1,1,0,0,1,1
2700,2700,29550,44,32460,2,14,1,1,0,0,0,0,1
4249,49,102049,38,39420,4,14,0,1,1,0,0,0,1
0,0,19500,42,18000,1,1,0,0,0,0,0,0,1
599,15599,16099,61,19278,1,8,1,0,0,0,0,1,0
3135,2905,19605,51,19956,3,12,0,1,0,0,0,0,1
16520,15970,60470,37,7182,1,18,0,0,0,0,0,0,1
0,-86500,-66500,57,47193,2,12,0,1,1,0,0,0,0
0,-4200,-2280,27,13200,2,12,0,0,0,0,0,0,0
0,-2415,-1515,38,14892,5,12,0,1,1,0,0,0,0
0,0,3136,29,13500,2,12,0,0,0,0,0,0,0
444,44,23044,46,72099,2,16,0,1,0,0,0,0,1
90130,90930,99930,36,93648,2,18,0,1,1,0,0,1,0
3500,4700,166400,56,48690,3,12,1,1,1,0,0,1,1
0,-712,-712,30,9009,4,6,0,1,0,0,0,0,0
65,-635,-635,29,36213,6,9,0,1,1,0,0,0,0
0,0,200,26,10200,1,14,0,0,0,0,0,0,0
1800,-2200,4800,34,43716,3,12,1,1,1,0,0,0,0
0,-5055,22945,59,9078,2,6,0,1,0,0,0,0,1
2499,5399,7399,31,13479,3,12,0,1,0,0,0,1,0
2500,-2100,35900,29,31569,4,17,0,1,0,0,0,0,1
600,600,51600,49,17874,2,12,0,0,0,0,0,0,1
3499,7299,97299,31,43005,2,12,0,1,1,0,0,1,1
16000,15100,27100,33,33885,2,16,0,1,1,0,0,0,1
0,0,0,40,10260,1,12,0,0,0,0,0,0,0
15130,31791,135141,53,23721,1,13,1,0,0,0,0,1,1
500,-400,4266,30,23118,1,16,1,0,0,0,0,0,0
0,-12000,4600,32,25305,3,12,0,1,1,0,0,0,1
499,499,18499,47,49206,4,16,0,1,1,0,0,0,1
4650,4500,22500,33,30075,3,6,0,1,1,0,0,0,1
1575,-10525,1475,30,35058,2,16,0,1,1,0,0,0,0
0,-170,-170,43,15330,5,10,0,1,0,0,0,0,0
0,0,7579,26,22080,3,12,1,0,0,0,0,0,0
1000,1000,8000,44,65400,4,16,1,1,1,0,0,0,0
25,-9764,-2764,43,11454,5,12,0,1,0,0,0,0,1
17075,17075,284425,35,30300,2,18,0,0,0,0,0,0,1
2010,2010,8110,48,29238,4,10,0,1,0,0,0,0,1
600,600,8600,42,10428,3,12,0,0,0,0,0,0,1
29049,41549,104861,39,84111,1,18,1,0,0,0,0,1,1
26882,26564,84564,45,70035,2,10,0,0,0,0,0,0,0
0,0,0,40,10560,2,12,0,0,0,0,0,0,0
900,44763,119763,62,40500,3,11,0,1,1,0,0,1,1
1200,1600,4100,36,31869,1,16,0,0,0,0,0,1,0
10029,10029,12279,30,21306,2,16,0,0,0,0,0,0,1
29850,29715,112815,35,74178,4,14,0,1,0,0,0,0,1
4414,4144,20894,44,47769,6,12,0,1,0,0,0,0,1
1500,-18500,47000,56,12024,2,12,0,0,0,0,0,0,1
0,0,0,35,2640,4,9,0,0,0,0,0,0,0
36,-1564,69536,49,22395,5,12,1,1,1,0,0,0,1
381500,385000,546510,43,50484,3,12,0,0,0,0,0,1,1
2000,-4000,475,45,42576,1,16,1,0,0,0,0,0,0
0,0,12150,38,10443,4,12,0,0,0,0,0,0,0
1800,1800,2300,32,19224,1,14,1,0,0,0,0,0,0
125,1500,8300,32,34455,3,13,0,1,1,0,0,1,1
230,-21070,-15696,27,33453,3,16,1,1,1,0,0,0,1
8500,12500,52250,44,21234,1,15,1,0,0,0,0,1,1
6000,6000,24550,32,21930,1,14,0,0,0,0,0,0,0
4000,-5000,84800,48,45165,3,12,0,1,1,0,0,0,1
200,-300,71700,39,20760,2,12,0,1,1,0,0,0,1
1100,-3900,1779,31,27150,3,12,0,0,0,0,0,0,0
850,850,850,26,16116,3,13,0,1,0,0,0,0,0
5,-595,50788,31,31536,4,12,1,1,1,0,0,0,1
13000,12877,21877,31,37461,4,12,0,1,1,0,0,0,1
12900,60300,60300,38,110181,5,12,0,1,1,0,0,1,0
30,30,530,35,24123,3,14,1,0,0,0,0,0,0
135,-15565,-565,35,28782,5,13,0,1,1,0,0,0,1
1500,1500,7500,42,36666,3,18,0,1,1,0,0,0,1
4000,300,38300,44,72975,3,10,1,1,1,0,0,0,1
300,-5250,-4550,48,49656,3,12,0,1,1,0,0,0,0
4549,-10491,-3491,36,36267,4,15,0,1,1,0,0,0,1
3800,1300,22300,35,55374,3,12,0,1,1,0,0,1,1
300,0,4875,28,22833,3,12,0,0,0,0,0,0,0
8000,-2000,-145,37,69120,3,16,0,1,1,0,0,0,0
1000,1000,1000,34,24465,3,11,0,1,1,0,0,0,0
4454,454,45654,46,80862,5,17,1,1,1,0,0,0,1
609,209,329,30,33420,4,12,0,1,1,0,0,0,0
1810,1460,30210,54,7440,1,8,1,0,0,0,0,0,1
8400,-9600,109900,47,15141,2,12,0,1,0,0,0,0,1
700,4572,4572,34,20667,4,12,0,1,1,0,0,1,0
25699,25699,105599,52,30870,3,13,0,1,1,0,0,0,1
2950,2924,6774,27,16860,1,12,0,0,0,0,0,0,0
0,0,3350,43,16080,1,14,0,0,0,0,0,0,0
30000,26000,180000,40,52998,1,18,1,0,0,0,0,0,1
1100,740,2740,28,16830,1,13,1,0,0,0,0,0,0
5000,4000,34000,63,37320,2,8,0,1,0,0,0,0,1
1799,1799,1799,54,53133,3,18,0,1,1,0,0,0,0
100,100,100,35,28998,3,12,1,0,0,0,0,0,0
5000,4500,13000,59,7740,2,7,0,1,0,0,0,0,1
0,-300,3050,33,13755,3,12,1,0,0,0,0,0,0
200,200,200,30,42315,2,14,0,1,1,0,0,0,1
200,200,75200,58,20490,4,12,0,1,1,0,0,0,1
50,-397,103,35,21177,4,12,0,0,0,0,0,0,0
0,0,0,35,21735,4,12,0,1,1,0,0,0,0
0,-9550,-7616,42,12600,1,12,0,0,0,0,0,0,1
83100,130812,200812,59,45519,2,12,0,1,1,0,0,1,1
49,49,49,48,26958,3,13,0,1,0,0,0,0,0
10000,4600,149600,32,50970,2,15,0,1,0,0,0,0,1
650,50,22550,43,39612,2,12,0,1,1,0,0,0,1
49,-1951,-1951,31,24012,2,13,0,1,1,0,0,0,0
846,-2854,43746,54,28059,5,16,0,1,1,0,0,1,0
0,0,500,27,16200,1,12,0,0,0,0,0,0,0
2600,1800,3466,45,14850,2,12,0,0,0,0,0,0,1
41499,41499,121499,58,20976,1,13,0,0,0,0,0,0,1
402,-3386,-3386,29,16902,7,1,0,1,0,0,0,0,0
400,-400,-400,63,11877,3,12,0,0,0,0,0,0,0
603,-6397,33703,43,11103,4,14,0,0,0,0,0,0,0
5800,-1700,4096,29,39051,1,16,0,0,0,0,0,0,0
1000,-500,24858,51,19968,2,18,0,0,0,0,0,0,1
75,-225,575,44,42744,2,13,1,1,1,0,0,0,0
1600,8400,98400,38,78396,4,16,0,1,1,0,0,1,1
395,-11635,7665,37,34803,5,11,0,1,1,0,0,0,1
3000,2750,146750,44,10446,5,12,0,1,0,0,0,0,1
67600,67600,94600,44,34755,4,1,0,1,0,0,0,0,1
31,31,4791,29,15174,4,12,0,0,0,0,0,0,1
360,-165,335,37,20421,1,13,0,0,0,0,0,0,0
5999,28999,186499,42,55110,4,12,0,1,1,0,0,1,1
800,500,50500,38,28050,4,12,0,1,0,0,0,0,1
100,50,4550,40,12120,4,12,1,0,0,0,0,0,1
0,0,101546,31,28080,3,12,0,1,1,0,0,0,1
4000,-101436,-100736,31,42555,3,13,0,1,1,0,0,0,0
3399,3399,6399,31,37509,1,16,0,0,0,0,0,0,0
0,0,0,35,9042,1,12,1,0,0,0,0,0,0
4950,4210,60209,42,57180,4,18,0,1,1,0,0,0,1
131,131,18131,39,11604,3,18,0,1,1,0,0,0,1
1266,-1804,7196,27,23400,3,5,0,1,1,0,0,0,0
259,259,167084,62,20622,1,16,0,0,0,0,0,0,1
599,599,37841,27,10836,3,14,0,0,0,0,0,0,1
1490,1490,6490,38,12816,4,10,0,1,0,0,0,0,1
1150,3450,3450,33,43830,3,15,0,1,1,0,0,1,1
875,2225,24925,60,22986,2,12,0,1,1,0,0,1,1
0,3000,3000,60,37794,2,13,0,1,1,0,0,1,0
100,100,38450,52,4890,1,10,0,0,0,0,0,0,1
1000,294,33794,61,19545,3,12,0,1,1,0,0,0,1
1000,700,16000,31,19860,1,14,0,0,0,0,0,0,0
36000,52000,73000,61,13206,4,12,0,0,0,0,0,1,1
71200,89900,342400,49,23250,1,12,0,0,0,0,0,1,1
758,1258,66258,34,60615,4,14,0,1,1,0,0,1,1
4000,4000,5000,31,23529,1,16,1,0,0,0,0,0,0
3800,3800,79760,29,37704,3,12,0,1,1,0,0,0,1
8999,8199,45299,33,24612,5,6,0,0,0,0,0,0,1
9400,-13600,-13600,33,38550,3,14,0,1,1,0,0,1,0
165000,195000,329000,44,128700,4,17,1,1,1,0,0,1,1
0,-450,-450,31,12816,4,12,0,0,0,0,0,0,0
0,0,31900,47,37800,2,14,0,0,0,0,0,0,1
549,-7451,-5951,40,17880,3,12,0,0,0,0,0,0,0
280,-7920,6080,41,19641,3,12,0,0,0,0,0,0,1
0,0,750,36,5103,2,12,0,0,0,0,0,0,0
30,30,25530,29,12756,1,12,0,0,0,0,0,0,0
0,0,0,33,4845,3,12,0,0,0,0,0,0,0
8100,12192,41192,27,31830,3,15,0,1,1,0,0,1,1
499,99,99,42,23430,5,13,0,0,0,0,0,0,0
1900,900,16400,36,42114,6,15,0,1,1,0,0,0,0
5000,5000,6300,32,11100,5,1,0,1,0,0,0,0,0
0,0,500,26,5280,1,12,0,0,0,0,0,0,1
1199,-6301,-3801,39,37569,4,12,0,1,1,0,0,0,0
16900,24900,52625,45,43239,1,12,1,0,0,0,0,1,1
31887,59061,418561,63,71184,2,12,0,1,1,0,0,1,1
900,-350,149650,31,59544,4,16,1,1,1,0,0,0,1
0,0,0,30,4200,6,11,1,0,0,0,0,0,0
0,0,60000,46,7668,2,8,0,0,0,0,0,0,1
0,0,0,55,7872,2,11,0,0,0,0,0,0,0
100,-2100,8980,38,31896,5,15,1,1,1,0,0,0,1
0,0,0,25,14439,3,9,0,1,0,0,0,0,0
3899,3899,3899,34,19713,3,12,0,1,0,0,0,0,0
28000,28000,140822,41,31254,1,18,1,0,0,0,0,0,1
60000,62300,64800,35,63525,1,18,0,0,0,0,0,1,0
700,-6600,44300,43,31800,3,12,1,0,0,0,0,0,1
49,-451,32649,60,24996,4,10,1,1,1,0,0,0,1
0,0,25000,51,36450,3,12,0,1,0,0,0,0,1
3000,2600,2600,60,21072,2,15,0,1,1,0,0,0,0
200,200,17950,49,18012,2,12,0,0,0,0,0,0,1
0,-600,2900,42,12240,3,12,0,1,0,0,0,0,0
734,734,85734,53,31386,3,12,0,1,0,0,0,0,1
150,-4850,-107,34,21645,2,14,1,0,0,0,0,0,0
2499,-633,60067,56,17724,3,13,0,1,0,0,0,0,1
12100,14800,61800,53,37482,3,12,0,1,1,0,0,1,1
1000,-3300,14700,58,27639,2,10,0,1,0,0,0,0,1
3360,360,17860,26,30720,1,16,0,0,0,0,0,0,1
2549,2549,11010,38,18438,6,11,0,1,0,0,0,0,0
0,-800,-800,38,19125,7,12,0,1,0,0,0,0,0
0,12000,18375,35,13704,6,12,0,1,0,0,0,1,1
749,749,48749,53,34185,1,12,1,0,0,0,0,0,1
5700,-40300,-29150,28,51660,1,18,0,0,0,0,0,0,1
0,0,0,35,1920,4,12,0,1,0,0,0,0,0
600,-3650,29350,37,20424,4,11,0,1,0,0,0,0,1
0,-400,2600,34,21600,3,13,0,1,1,0,0,0,0
8763,4700,87828,36,56118,1,16,1,0,0,0,0,1,1
0,-425,-425,28,20148,5,12,1,1,1,0,0,0,0
50,-1150,8850,44,16806,3,12,0,1,0,0,0,0,1
990,-1093,150795,31,13317,4,15,0,1,1,0,0,0,1
700,-100,3250,31,20475,1,17,0,1,0,0,0,0,0
0,-3000,67100,51,8730,2,12,0,1,0,0,0,0,1
100,-150,850,28,19500,1,12,0,0,0,0,0,0,0
0,-16000,84000,54,27858,4,6,0,1,0,0,0,0,1
700,-1700,79300,36,41694,2,14,1,1,1,0,0,0,1
0,0,0,40,8850,1,12,0,0,0,0,0,0,0
0,0,0,29,7650,1,12,0,0,0,0,0,0,0
7499,7499,216361,25,51450,2,12,0,0,0,0,0,0,1
0,-57200,-35200,47,10542,2,12,0,1,0,0,0,0,1
0,0,500,49,15300,1,15,0,0,0,0,0,0,0
81500,86500,161850,35,102171,4,18,1,1,0,0,0,1,1
900,-5100,2400,40,45231,3,13,0,0,0,0,0,0,1
776,-2674,1331,30,13152,3,10,0,0,0,0,0,0,1
30016,37316,70316,38,27813,3,11,0,1,1,0,0,1,1
6048,6048,96048,49,39123,3,12,0,1,1,0,0,0,1
0,-2200,800,32,36150,4,12,0,1,1,0,0,0,1
310,110,12963,52,39219,2,12,0,1,0,0,0,0,1
0,-300,28200,55,10800,3,12,0,0,0,0,0,0,1
649,20649,55649,58,20235,2,10,0,1,0,0,0,1,1
1200,-13300,27700,38,62703,5,12,0,1,1,0,0,0,1
310,310,20810,43,23490,1,14,0,0,0,0,0,0,1
0,-150,1550,27,15888,2,12,0,0,0,0,0,0,1
1999,-9001,-3901,25,33729,1,18,0,0,0,0,0,0,0
3525,1875,20875,29,55845,2,12,0,1,1,0,0,0,1
550,-650,4400,40,19209,2,15,0,0,0,0,0,0,1
856,656,12856,59,23976,2,14,0,1,0,0,0,0,1
113,-32887,-15587,35,57156,4,12,0,1,1,0,0,0,1
0,0,0,43,13743,1,12,0,0,0,0,0,0,0
100,-11900,-6700,39,7470,1,12,1,0,0,0,0,0,0
2600,2550,71550,36,77940,4,15,0,1,1,0,0,0,1
0,-69300,-61200,46,16200,5,12,0,1,1,0,0,0,1
3700,3700,63942,26,10404,1,9,0,0,0,0,0,0,1
0,0,0,54,27240,5,16,1,0,0,0,0,0,0
250,250,37624,56,35742,3,12,0,1,0,0,0,0,1
3660,3660,37820,63,28272,4,8,0,1,0,0,0,0,1
39000,39000,131775,62,58272,1,11,1,0,0,0,0,0,1
0,-1246,-1246,42,14307,6,12,0,1,0,0,0,0,0
215750,215750,305750,41,66018,3,16,0,0,0,0,0,0,1
300,-40650,4950,38,6750,2,14,0,0,0,0,0,1,0
130,130,21630,42,27000,1,13,1,0,0,0,0,0,1
3200,11800,36800,55,21801,3,12,1,0,0,0,0,1,1
8000,8000,8000,45,36495,3,12,1,0,0,0,0,0,0
400000,469400,554400,61,172092,2,12,0,1,0,0,0,1,1
1599,1599,6841,64,6498,1,13,0,0,0,0,0,0,0
1225,1225,5400,35,24549,1,14,1,0,0,0,0,0,0
1011999,1006499,1150499,40,82251,5,18,0,1,0,0,0,0,1
0,-1000,-1000,32,53796,5,17,0,1,0,0,0,0,0
152,-148,2352,60,7650,1,6,0,0,0,0,0,0,1
2000,-3500,42800,42,38817,2,12,0,1,1,0,0,0,1
2398,2398,5398,31,19284,1,14,1,0,0,0,0,0,0
2500,-3500,14625,41,18675,2,14,0,0,0,0,0,0,1
2700,20840,25340,48,91230,3,12,1,1,1,0,0,1,1
0,-1600,2400,53,21816,1,10,1,0,0,0,0,0,0
92300,97333,97333,63,44799,2,12,0,1,0,0,0,1,0
200,4200,14000,28,48060,4,15,0,1,1,0,0,1,1
7399,43399,163399,55,76077,3,12,1,1,1,0,0,1,1
2680,5692,13592,33,49845,2,18,0,1,1,0,0,1,1
2300,4000,12000,31,27708,3,13,0,1,0,0,0,1,0
205,25,3375,29,14670,1,12,0,0,0,0,0,0,0
1800,-334,37666,43,34299,2,18,0,0,0,0,0,0,1
10892,11658,49058,38,4584,3,12,0,0,0,0,0,1,1
0,0,0,28,19170,4,14,0,1,1,0,0,0,0
1699,16069,59569,39,45762,4,17,0,1,0,0,0,1,1
7000,18000,35850,52,21435,1,12,1,0,0,0,0,1,1
250,250,61600,57,39312,1,16,0,0,0,0,0,0,1
8307,6807,25065,32,19035,4,12,1,1,0,0,0,0,1
100,975,86475,42,6639,1,12,0,0,0,0,0,1,1
40,-4960,1056,27,17004,3,13,0,0,0,0,0,0,0
166500,184500,299500,36,118401,4,16,0,1,0,0,0,1,1
600,20600,100600,61,68220,2,12,0,1,1,0,0,1,1
1500,1500,4900,33,16290,1,12,1,0,0,0,0,0,0
300,-2650,52350,38,29481,5,14,0,1,1,0,0,0,1
3899,10499,16499,35,15144,4,15,0,1,0,0,0,1,0
9645,9645,15070,33,22050,2,14,0,0,0,0,0,0,0
5021,5021,55021,54,9600,3,12,0,1,0,0,0,0,1
3100,1200,3700,30,22362,1,13,0,0,0,0,0,0,0
0,-9000,-9000,40,14241,5,14,0,0,0,0,0,0,0
1940,1940,25440,53,39192,2,10,0,1,1,0,0,1,1
300,-9700,62300,56,37869,3,11,0,1,1,0,0,0,1
260,-1840,201160,33,44388,5,12,0,1,0,0,0,0,1
44999,93521,148421,54,52770,5,14,0,1,0,0,0,1,1
1000,1000,16000,35,21450,5,12,0,1,0,0,0,0,1
0,-160,590,36,9270,4,12,0,0,0,0,0,0,0
800,-1200,3100,25,28830,1,13,0,0,0,0,0,0,0
0,0,500,61,3636,1,9,0,0,0,0,0,0,0
3799,2399,51905,50,22200,1,12,1,0,0,0,0,0,1
16250,65897,252897,56,39546,1,12,0,0,0,0,0,1,1
2410,-3690,22385,43,37146,2,18,1,0,0,0,0,0,1
5300,42800,86500,53,32559,3,12,0,1,1,0,0,1,1
1200,1200,1400,29,15372,1,12,0,0,0,0,0,0,0
11,-6569,26831,25,14484,4,11,0,1,0,0,0,0,1
300,300,9300,36,57624,1,12,0,0,0,0,0,0,1
17800,15600,27685,25,17793,1,18,0,0,0,0,0,0,0
6500,4000,92746,49,48168,1,12,1,0,0,0,0,0,1
2100,1600,53200,27,74970,5,12,0,1,0,0,0,0,1
5291,33926,69426,59,43605,3,12,0,1,0,0,0,1,1
0,0,0,45,2400,3,12,0,1,0,0,0,0,0
1800,21550,81550,61,28926,5,16,0,1,1,0,0,1,1
50,-250,37750,41,31800,1,12,1,0,0,0,0,0,0
3000,8550,18703,59,31350,1,12,0,0,0,0,0,1,0
10500,7500,70700,60,43320,4,12,0,1,1,0,0,0,1
1400,-6600,19750,32,52041,1,16,1,1,0,0,0,0,1
3850,-299750,-248950,42,53514,4,10,0,1,1,0,0,0,1
0,0,33650,42,16860,1,8,0,0,0,0,0,0,1
0,0,-500,28,6006,2,10,0,0,0,0,0,0,0
1400,-5100,-5100,31,33513,7,11,0,1,1,0,0,0,0
4249,4249,23674,26,35325,2,12,0,0,0,0,0,0,1
25,-2225,39025,60,22440,2,12,0,1,1,0,0,0,1
200,125,9125,43,13896,2,12,0,0,0,0,0,0,1
700,-4300,-4300,43,20583,4,16,1,0,0,0,0,0,0
32300,35900,36400,33,39351,1,18,0,0,0,0,0,1,0
400,400,400,58,12090,2,12,0,0,0,0,0,0,0
42800,46800,129550,58,24804,2,12,0,0,0,0,0,1,1
135,635,3985,25,21630,1,16,0,0,0,0,0,1,0
742,-8388,2212,28,28530,3,12,0,1,1,0,0,1,1
6800,4200,37866,41,48336,2,17,1,0,0,0,0,0,1
0,0,0,31,12588,6,12,0,1,1,0,0,0,0
1200,1200,1200,27,30162,5,8,0,1,0,0,0,0,0
7200,6200,7400,49,19809,3,12,1,0,0,0,0,0,0
800,-2200,1000,30,14787,3,16,0,0,0,0,0,0,0
500,500,500,49,20430,1,13,0,0,0,0,0,0,0
45,45,45,38,11082,4,17,0,0,0,0,0,0,0
26200,26200,95700,59,28284,2,12,0,1,0,0,0,0,1
2500,-8500,16500,31,30315,4,13,0,1,0,0,0,0,1
300,300,3650,42,35700,2,12,0,0,0,0,0,0,0
4500,1700,151760,45,45270,4,11,0,1,0,0,0,0,1
100,100,277500,48,23412,6,12,0,1,0,0,0,0,1
25,25,2191,34,12291,1,12,0,0,0,0,0,0,0
2000,-8000,-3600,47,39432,5,12,1,1,1,0,0,0,1
17248,-2752,157148,61,49992,2,12,0,1,0,0,0,0,1
0,-7100,1400,31,58122,2,16,1,1,1,0,0,0,0
0,0,16000,61,25092,4,12,0,0,0,0,0,0,1
37330,86030,115030,40,43203,4,12,0,1,1,0,0,1,1
0,0,3350,32,19200,1,14,0,0,0,0,0,0,0
17499,16699,19032,26,29700,1,16,1,1,0,0,0,0,0
9349,-14551,-5551,36,104343,3,18,1,1,1,0,0,0,0
1000,1000,126100,63,19764,6,12,1,0,0,0,0,0,1
130,-3570,430,49,3840,2,14,0,1,0,0,0,0,1
43500,57500,152500,35,81075,3,14,0,1,0,0,0,1,1
100,-300,5050,39,33078,1,16,0,0,0,0,0,0,0
2500,-16700,-11700,35,65010,4,14,0,1,1,0,0,0,0
1100,1100,72300,60,30639,3,13,1,1,0,0,0,0,1
3000,3000,50500,42,50937,5,14,0,1,1,0,0,0,1
26000,28000,202600,53,108258,3,16,0,1,1,0,0,1,1
9200,7700,72700,52,73110,2,16,1,1,1,0,0,1,1
295,-3605,8395,31,17127,2,12,0,1,0,0,0,0,1
77500,93501,329901,48,79053,2,12,0,1,0,0,0,1,1
0,-400,4600,38,17700,1,12,0,0,0,0,0,0,1
0,0,4000,33,12240,6,10,0,1,0,0,0,0,0
16549,16549,32602,26,11118,3,13,0,0,0,0,0,0,0
120000,120000,270000,40,124932,4,17,0,1,1,0,0,1,1
80200,82200,82200,25,28209,1,16,0,0,0,0,0,1,0
