State,id,unemployment,median_income,uninsured,year,County,MedicaidStatus,AdoptedYear,SID
Alabama,0500000US01127,8.5,35495,13.8,2014,Walker County,Not Adopted,0,21
Alabama,0500000US01003,5.1,52003,8.1,2015,Baldwin County,Not Adopted,0,1
Alabama,0500000US01015,10.1,42346,8.9,2015,Calhoun County,Not Adopted,0,2
Alabama,0500000US01043,4.5,37862,14.1,2015,Cullman County,Not Adopted,0,3
Alabama,0500000US01049,5.6,36559,14.5,2015,DeKalb County,Not Adopted,0,4
Alabama,0500000US01051,4.6,52502,6.8,2015,Elmore County,Not Adopted,0,5
Alabama,0500000US01055,4.6,43346,9.5,2015,Etowah County,Not Adopted,0,6
Alabama,0500000US01069,7.8,43553,10.1,2015,Houston County,Not Adopted,0,7
Alabama,0500000US01073,7.8,48492,10.2,2015,Jefferson County,Not Adopted,0,8
Alabama,0500000US01077,6,42577,8,2015,Lauderdale County,Not Adopted,0,9
Alabama,0500000US01081,5.4,46589,8.4,2015,Lee County,Not Adopted,0,10
Alabama,0500000US01083,9.1,55009,11.2,2015,Limestone County,Not Adopted,0,11
Alabama,0500000US01089,7.2,58636,10.1,2015,Madison County,Not Adopted,0,12
Alabama,0500000US01095,4.3,40525,12,2015,Marshall County,Not Adopted,0,13
Alabama,0500000US01097,6.6,42699,11.5,2015,Mobile County,Not Adopted,0,14
Alabama,0500000US01101,8.2,42477,11.9,2015,Montgomery County,Not Adopted,0,15
Alabama,0500000US01103,6.6,47229,11.1,2015,Morgan County,Not Adopted,0,16
Alabama,0500000US01115,4.8,54484,9.5,2015,St. Clair County,Not Adopted,0,17
Alabama,0500000US01117,4,70192,7,2015,Shelby County,Not Adopted,0,18
Alabama,0500000US01121,13.2,34451,9.7,2015,Talladega County,Not Adopted,0,19
Alabama,0500000US01125,5.6,49067,7.2,2015,Tuscaloosa County,Not Adopted,0,20
Alabama,0500000US01127,11.6,35056,9.6,2015,Walker County,Not Adopted,0,21
Alabama,0500000US01003,3.6,56732,8.2,2016,Baldwin County,Not Adopted,0,1
Alabama,0500000US01015,9.3,41687,10.4,2016,Calhoun County,Not Adopted,0,2
Alabama,0500000US01043,4.7,39411,11.7,2016,Cullman County,Not Adopted,0,3
Alabama,0500000US01049,5,35963,13.7,2016,DeKalb County,Not Adopted,0,4
Alabama,0500000US01051,4.9,52579,7,2016,Elmore County,Not Adopted,0,5
Alabama,0500000US01055,6.4,41152,9.1,2016,Etowah County,Not Adopted,0,6
Alabama,0500000US01069,7.3,42321,10.7,2016,Houston County,Not Adopted,0,7
Alabama,0500000US01073,6.9,50180,8.6,2016,Jefferson County,Not Adopted,0,8
Alabama,0500000US01077,7.3,43427,8.2,2016,Lauderdale County,Not Adopted,0,9
Alabama,0500000US01081,5.8,48056,7.7,2016,Lee County,Not Adopted,0,10
Alabama,0500000US01083,5.7,50872,11.4,2016,Limestone County,Not Adopted,0,11
Alabama,0500000US01089,4.7,60503,7.4,2016,Madison County,Not Adopted,0,12
Alabama,0500000US01095,6.4,42362,11.2,2016,Marshall County,Not Adopted,0,13
Alabama,0500000US01097,6.1,45744,11.4,2016,Mobile County,Not Adopted,0,14
Alabama,0500000US01101,7.2,45395,9.6,2016,Montgomery County,Not Adopted,0,15
Alabama,0500000US01103,5.1,44378,7.9,2016,Morgan County,Not Adopted,0,16
Alabama,0500000US01115,5,60158,6.4,2016,St. Clair County,Not Adopted,0,17
Alabama,0500000US01117,3.9,73647,5.8,2016,Shelby County,Not Adopted,0,18
Alabama,0500000US01121,7.8,39393,7.4,2016,Talladega County,Not Adopted,0,19
Alabama,0500000US01125,7.4,47787,7.3,2016,Tuscaloosa County,Not Adopted,0,20
Alabama,0500000US01127,13.1,39068,10.3,2016,Walker County,Not Adopted,0,21
Alabama,0500000US01003,5.2,55342,9.2,2017,Baldwin County,Not Adopted,0,1
Alabama,0500000US01015,6.5,46763,10.8,2017,Calhoun County,Not Adopted,0,2
Alabama,0500000US01043,7.2,45044,11.1,2017,Cullman County,Not Adopted,0,3
Alabama,0500000US01049,4.1,39373,12.6,2017,DeKalb County,Not Adopted,0,4
Alabama,0500000US01051,6.3,60558,5.6,2017,Elmore County,Not Adopted,0,5
Alabama,0500000US01055,6,41576,11.5,2017,Etowah County,Not Adopted,0,6
Alabama,0500000US01069,5.4,44529,9,2017,Houston County,Not Adopted,0,7
Alabama,0500000US01073,6.6,50709,9.2,2017,Jefferson County,Not Adopted,0,8
Alabama,0500000US01077,5.2,45352,10,2017,Lauderdale County,Not Adopted,0,9
Alabama,0500000US01081,4.6,52943,7.3,2017,Lee County,Not Adopted,0,10
Alabama,0500000US01083,4.5,55817,8.4,2017,Limestone County,Not Adopted,0,11
Alabama,0500000US01089,4.8,62312,8.9,2017,Madison County,Not Adopted,0,12
Alabama,0500000US01095,5,41476,14.6,2017,Marshall County,Not Adopted,0,13
Alabama,0500000US01097,4.9,46023,10.8,2017,Mobile County,Not Adopted,0,14
Alabama,0500000US01101,5.4,45724,9.6,2017,Montgomery County,Not Adopted,0,15
Alabama,0500000US01103,4.7,48563,8.3,2017,Morgan County,Not Adopted,0,16
Alabama,0500000US01115,NA,50934,7.6,2017,St. Clair County,Not Adopted,0,17
Alabama,0500000US01117,4.1,73031,5.6,2017,Shelby County,Not Adopted,0,18
Alabama,0500000US01121,3.2,39731,7.7,2017,Talladega County,Not Adopted,0,19
Alabama,0500000US01125,6.1,52313,6.5,2017,Tuscaloosa County,Not Adopted,0,20
Alabama,0500000US01127,8.5,41973,10.1,2017,Walker County,Not Adopted,0,21
Alabama,0500000US01003,2.4,56813,13.2,2018,Baldwin County,Not Adopted,0,1
Alabama,0500000US01015,8.1,45818,8.4,2018,Calhoun County,Not Adopted,0,2
Alabama,0500000US01043,4.3,44612,10.1,2018,Cullman County,Not Adopted,0,3
Alabama,0500000US01049,3.2,36998,13.8,2018,DeKalb County,Not Adopted,0,4
Alabama,0500000US01051,5.3,60796,10.2,2018,Elmore County,Not Adopted,0,5
Alabama,0500000US01055,5.2,45868,9.5,2018,Etowah County,Not Adopted,0,6
Alabama,0500000US01069,6,48105,11.2,2018,Houston County,Not Adopted,0,7
Alabama,0500000US01073,6.7,55206,9.4,2018,Jefferson County,Not Adopted,0,8
Alabama,0500000US01077,2.3,49014,8.3,2018,Lauderdale County,Not Adopted,0,9
Alabama,0500000US01081,5.8,46456,7.8,2018,Lee County,Not Adopted,0,10
Alabama,0500000US01083,5.1,67000,7.1,2018,Limestone County,Not Adopted,0,11
Alabama,0500000US01089,5.2,63111,8.4,2018,Madison County,Not Adopted,0,12
Alabama,0500000US01095,4.4,47528,10.3,2018,Marshall County,Not Adopted,0,13
Alabama,0500000US01097,5.6,43061,12,2018,Mobile County,Not Adopted,0,14
Alabama,0500000US01101,6.5,49989,10.1,2018,Montgomery County,Not Adopted,0,15
Alabama,0500000US01103,3.3,53260,9.6,2018,Morgan County,Not Adopted,0,16
Alabama,0500000US01115,3.8,56602,11.6,2018,St. Clair County,Not Adopted,0,17
Alabama,0500000US01117,3.2,71230,6.6,2018,Shelby County,Not Adopted,0,18
Alabama,0500000US01121,8.5,40315,10.1,2018,Talladega County,Not Adopted,0,19
Alabama,0500000US01125,4.1,54459,7.3,2018,Tuscaloosa County,Not Adopted,0,20
Alabama,0500000US01127,7.9,47602,13.4,2018,Walker County,Not Adopted,0,21
Alabama,0500000US01003,5.5,56439,8.1,2019,Baldwin County,Not Adopted,0,1
Alabama,0500000US01015,7.6,48156,11.1,2019,Calhoun County,Not Adopted,0,2
Alabama,0500000US01043,4.7,50906,10.6,2019,Cullman County,Not Adopted,0,3
Alabama,0500000US01049,4.7,44208,14.1,2019,DeKalb County,Not Adopted,0,4
Alabama,0500000US01051,2.8,61854,6,2019,Elmore County,Not Adopted,0,5
Alabama,0500000US01055,6.3,41447,13.2,2019,Etowah County,Not Adopted,0,6
Alabama,0500000US01069,6.2,50103,12.9,2019,Houston County,Not Adopted,0,7
Alabama,0500000US01073,4.8,53944,9.4,2019,Jefferson County,Not Adopted,0,8
Alabama,0500000US01077,4.3,46632,11.7,2019,Lauderdale County,Not Adopted,0,9
Alabama,0500000US01081,3.7,53712,7.1,2019,Lee County,Not Adopted,0,10
Alabama,0500000US01083,4.6,63695,11.7,2019,Limestone County,Not Adopted,0,11
Alabama,0500000US01089,3.5,67930,7.6,2019,Madison County,Not Adopted,0,12
Alabama,0500000US01095,2.2,49467,11.7,2019,Marshall County,Not Adopted,0,13
Alabama,0500000US01097,5.4,49639,11.3,2019,Mobile County,Not Adopted,0,14
Alabama,0500000US01101,5.6,53117,9.5,2019,Montgomery County,Not Adopted,0,15
Alabama,0500000US01103,5.7,54338,10.2,2019,Morgan County,Not Adopted,0,16
Alabama,0500000US01115,5,67487,6,2019,St. Clair County,Not Adopted,0,17
Alabama,0500000US01117,3.3,75614,6.7,2019,Shelby County,Not Adopted,0,18
Alabama,0500000US01121,9.4,50147,10.1,2019,Talladega County,Not Adopted,0,19
Alabama,0500000US01125,4.7,52243,7.1,2019,Tuscaloosa County,Not Adopted,0,20
Alabama,0500000US01127,6,46283,18.3,2019,Walker County,Not Adopted,0,21
Alaska,0500000US02020,5.4,72813,16,2011,Anchorage Municipality,Adopted,2015,22
Alaska,0500000US02090,4.3,65920,17.3,2011,Fairbanks North Star Borough,Adopted,2015,23
Alaska,0500000US02170,7,68672,20.4,2011,Matanuska-Susitna Borough,Adopted,2015,24
Alaska,0500000US02020,4.6,72575,17.9,2012,Anchorage Municipality,Adopted,2015,22
Alaska,0500000US02090,4.6,66539,16,2012,Fairbanks North Star Borough,Adopted,2015,23
Alaska,0500000US02170,6.6,67486,19.7,2012,Matanuska-Susitna Borough,Adopted,2015,24
Alaska,0500000US02020,6.6,79045,16.4,2013,Anchorage Municipality,Adopted,2015,22
Alaska,0500000US02090,10.3,69113,11.5,2013,Fairbanks North Star Borough,Adopted,2015,23
Alaska,0500000US02170,10.2,72122,19.7,2013,Matanuska-Susitna Borough,Adopted,2015,24
Alaska,0500000US02020,5.7,76337,15.4,2014,Anchorage Municipality,Adopted,2015,22
Alaska,0500000US02090,9.1,69820,11.7,2014,Fairbanks North Star Borough,Adopted,2015,23
Alaska,0500000US02170,8.5,73831,16.6,2014,Matanuska-Susitna Borough,Adopted,2015,24
Alaska,0500000US02020,6.4,78662,12,2015,Anchorage Municipality,Adopted,2015,22
Alaska,0500000US02090,7.9,72975,9.5,2015,Fairbanks North Star Borough,Adopted,2015,23
Alaska,0500000US02170,9,76427,15.4,2015,Matanuska-Susitna Borough,Adopted,2015,24
Alaska,0500000US02020,5.2,85634,10.7,2016,Anchorage Municipality,Adopted,2015,22
Alaska,0500000US02090,10.3,77328,11.1,2016,Fairbanks North Star Borough,Adopted,2015,23
Alaska,0500000US02170,13.2,69332,15.1,2016,Matanuska-Susitna Borough,Adopted,2015,24
Alaska,0500000US02020,5.8,79166,11.3,2017,Anchorage Municipality,Adopted,2015,22
Alaska,0500000US02090,6.3,76747,11.2,2017,Fairbanks North Star Borough,Adopted,2015,23
Alaska,0500000US02170,9,69121,14.7,2017,Matanuska-Susitna Borough,Adopted,2015,24
Alaska,0500000US02020,5.5,83648,11.3,2018,Anchorage Municipality,Adopted,2015,22
Alaska,0500000US02090,5.6,75448,9.3,2018,Fairbanks North Star Borough,Adopted,2015,23
Alaska,0500000US02170,8.4,72667,14.4,2018,Matanuska-Susitna Borough,Adopted,2015,24
Alaska,0500000US02020,5.4,82716,10.6,2019,Anchorage Municipality,Adopted,2015,22
Alaska,0500000US02090,3.5,72065,8.2,2019,Fairbanks North Star Borough,Adopted,2015,23
Alaska,0500000US02170,6.5,74709,13.7,2019,Matanuska-Susitna Borough,Adopted,2015,24
Arizona,0500000US04001,11.1,31123,23.8,2011,Apache County,Adopted,2014,25
Arizona,0500000US04003,5.1,40903,16.1,2011,Cochise County,Adopted,2014,26
Arizona,0500000US04005,7,45045,20.6,2011,Coconino County,Adopted,2014,27
Arizona,0500000US04013,6.4,50770,17.6,2011,Maricopa County,Adopted,2014,28
Arizona,0500000US04015,7.3,35983,16.7,2011,Mohave County,Adopted,2014,29
Arizona,0500000US04017,10.9,30937,18.8,2011,Navajo County,Adopted,2014,30
Arizona,0500000US04019,6.9,44112,14.3,2011,Pima County,Adopted,2014,31
Arizona,0500000US04021,8.2,44107,17.2,2011,Pinal County,Adopted,2014,32
Arizona,0500000US04025,5.8,41719,14.2,2011,Yavapai County,Adopted,2014,33
Arizona,0500000US04027,6.8,38390,19.7,2011,Yuma County,Adopted,2014,34
Arizona,0500000US04001,7.7,33867,26,2012,Apache County,Adopted,2014,25
Arizona,0500000US04003,4.9,43252,13.8,2012,Cochise County,Adopted,2014,26
Arizona,0500000US04005,5.4,45640,23.8,2012,Coconino County,Adopted,2014,27
Arizona,0500000US04013,5.5,51432,17.6,2012,Maricopa County,Adopted,2014,28
Arizona,0500000US04015,6.8,34445,19.3,2012,Mohave County,Adopted,2014,29
Arizona,0500000US04017,10.9,34298,19.3,2012,Navajo County,Adopted,2014,30
Arizona,0500000US04019,6.1,44762,15,2012,Pima County,Adopted,2014,31
Arizona,0500000US04021,6.6,50515,15.4,2012,Pinal County,Adopted,2014,32
Arizona,0500000US04025,5.6,44035,16.6,2012,Yavapai County,Adopted,2014,33
Arizona,0500000US04027,7.6,39485,25.6,2012,Yuma County,Adopted,2014,34
Arizona,0500000US04001,17.5,29180,26.3,2013,Apache County,Adopted,2014,25
Arizona,0500000US04003,8.7,46647,12.2,2013,Cochise County,Adopted,2014,26
Arizona,0500000US04005,8.3,50637,18.7,2013,Coconino County,Adopted,2014,27
Arizona,0500000US04013,7.6,52045,17.5,2013,Maricopa County,Adopted,2014,28
Arizona,0500000US04015,14.5,39058,18.2,2013,Mohave County,Adopted,2014,29
Arizona,0500000US04017,19.4,38400,18.6,2013,Navajo County,Adopted,2014,30
Arizona,0500000US04019,10.7,43824,15.5,2013,Pima County,Adopted,2014,31
Arizona,0500000US04021,8.9,49756,16.2,2013,Pinal County,Adopted,2014,32
Arizona,0500000US04025,10.9,39895,16.8,2013,Yavapai County,Adopted,2014,33
Arizona,0500000US04027,13,41666,19.6,2013,Yuma County,Adopted,2014,34
Arizona,0500000US04001,15.7,33076,22.6,2014,Apache County,Adopted,2014,25
Arizona,0500000US04003,8.6,45688,10.3,2014,Cochise County,Adopted,2014,26
Arizona,0500000US04005,7.7,49757,16.6,2014,Coconino County,Adopted,2014,27
Arizona,0500000US04013,6.8,53896,13.6,2014,Maricopa County,Adopted,2014,28
Arizona,0500000US04015,11.8,37674,17.3,2014,Mohave County,Adopted,2014,29
Arizona,0500000US04017,21.7,34600,17.2,2014,Navajo County,Adopted,2014,30
Arizona,0500000US04019,9.1,45856,13.2,2014,Pima County,Adopted,2014,31
Arizona,0500000US04021,8.2,49867,9.8,2014,Pinal County,Adopted,2014,32
Arizona,0500000US04025,10.2,44255,13.6,2014,Yavapai County,Adopted,2014,33
Arizona,0500000US04027,10.6,40008,15.1,2014,Yuma County,Adopted,2014,34
Arizona,0500000US04001,14.4,29417,21,2015,Apache County,Adopted,2014,25
Arizona,0500000US04003,7.5,43291,6.4,2015,Cochise County,Adopted,2014,26
Arizona,0500000US04005,8.3,53152,11.3,2015,Coconino County,Adopted,2014,27
Arizona,0500000US04013,5.6,56004,10.9,2015,Maricopa County,Adopted,2014,28
Arizona,0500000US04015,8.2,40908,10.7,2015,Mohave County,Adopted,2014,29
Arizona,0500000US04017,15.5,37833,14.8,2015,Navajo County,Adopted,2014,30
Arizona,0500000US04019,8.3,47099,9.8,2015,Pima County,Adopted,2014,31
Arizona,0500000US04021,9.6,50770,10.7,2015,Pinal County,Adopted,2014,32
Arizona,0500000US04025,6,48105,9.2,2015,Yavapai County,Adopted,2014,33
Arizona,0500000US04027,12.5,40539,15.6,2015,Yuma County,Adopted,2014,34
Arizona,0500000US04001,10.9,34685,23.1,2016,Apache County,Adopted,2014,25
Arizona,0500000US04003,7.6,45508,7.8,2016,Cochise County,Adopted,2014,26
Arizona,0500000US04005,8.7,55091,11.5,2016,Coconino County,Adopted,2014,27
Arizona,0500000US04013,5.4,58737,10.3,2016,Maricopa County,Adopted,2014,28
Arizona,0500000US04015,9.6,42423,7.5,2016,Mohave County,Adopted,2014,29
Arizona,0500000US04017,12.6,36998,11.3,2016,Navajo County,Adopted,2014,30
Arizona,0500000US04019,8.1,47560,8.7,2016,Pima County,Adopted,2014,31
Arizona,0500000US04021,8.8,52555,7.8,2016,Pinal County,Adopted,2014,32
Arizona,0500000US04025,5.3,50420,9.1,2016,Yavapai County,Adopted,2014,33
Arizona,0500000US04027,10.6,43518,12.8,2016,Yuma County,Adopted,2014,34
Arizona,0500000US04001,10,31671,24.7,2017,Apache County,Adopted,2014,25
Arizona,0500000US04003,6.8,51816,7.8,2017,Cochise County,Adopted,2014,26
Arizona,0500000US04005,9.2,54893,10.2,2017,Coconino County,Adopted,2014,27
Arizona,0500000US04013,5,62223,10.4,2017,Maricopa County,Adopted,2014,28
Arizona,0500000US04015,7.6,42311,10.4,2017,Mohave County,Adopted,2014,29
Arizona,0500000US04017,9.1,41295,13.5,2017,Navajo County,Adopted,2014,30
Arizona,0500000US04019,7.3,51425,8.3,2017,Pima County,Adopted,2014,31
Arizona,0500000US04021,6.5,52788,8,2017,Pinal County,Adopted,2014,32
Arizona,0500000US04025,6,50041,9.5,2017,Yavapai County,Adopted,2014,33
Arizona,0500000US04027,6,46798,11.1,2017,Yuma County,Adopted,2014,34
Arizona,0500000US04001,9.6,30207,29.4,2018,Apache County,Adopted,2014,25
Arizona,0500000US04003,6.1,50495,8.4,2018,Cochise County,Adopted,2014,26
Arizona,0500000US04005,5.8,61843,10.4,2018,Coconino County,Adopted,2014,27
Arizona,0500000US04013,4.6,65252,10.8,2018,Maricopa County,Adopted,2014,28
Arizona,0500000US04015,9.9,46060,7.8,2018,Mohave County,Adopted,2014,29
Arizona,0500000US04017,14.4,40463,11.6,2018,Navajo County,Adopted,2014,30
Arizona,0500000US04019,5.7,53464,9.6,2018,Pima County,Adopted,2014,31
Arizona,0500000US04021,7.2,59058,9.2,2018,Pinal County,Adopted,2014,32
Arizona,0500000US04025,7.3,48148,11.2,2018,Yavapai County,Adopted,2014,33
Arizona,0500000US04027,7.6,43403,9.7,2018,Yuma County,Adopted,2014,34
Arizona,0500000US04001,7.5,30480,31.4,2019,Apache County,Adopted,2014,25
Arizona,0500000US04003,4.9,48484,7.3,2019,Cochise County,Adopted,2014,26
Arizona,0500000US04005,8.5,58085,12,2019,Coconino County,Adopted,2014,27
Arizona,0500000US04013,4.4,68649,11.5,2019,Maricopa County,Adopted,2014,28
Arizona,0500000US04015,5.1,50179,7.9,2019,Mohave County,Adopted,2014,29
Arizona,0500000US04017,9.9,38897,17.5,2019,Navajo County,Adopted,2014,30
Arizona,0500000US04019,5.5,56169,10.3,2019,Pima County,Adopted,2014,31
Arizona,0500000US04021,5.2,62057,9.4,2019,Pinal County,Adopted,2014,32
Arizona,0500000US04025,4.4,53816,10.7,2019,Yavapai County,Adopted,2014,33
Arizona,0500000US04027,14.8,46419,14,2019,Yuma County,Adopted,2014,34
Arkansas,0500000US05007,3.5,52341,14.8,2011,Benton County,Adopted,2014,35
Arkansas,0500000US05031,9,37390,17.1,2011,Craighead County,Adopted,2014,36
Arkansas,0500000US05045,5.3,49886,13.2,2011,Faulkner County,Adopted,2014,37
Arkansas,0500000US05051,5.3,34251,21.2,2011,Garland County,Adopted,2014,38
Arkansas,0500000US05069,8.7,39176,14.2,2011,Jefferson County,Adopted,2014,39
Arkansas,0500000US05085,3.5,48161,15.4,2011,Lonoke County,Adopted,2014,40
Arkansas,0500000US05119,6.4,43461,16.4,2011,Pulaski County,Adopted,2014,41
Arkansas,0500000US05125,4,53557,13.4,2011,Saline County,Adopted,2014,42
Arkansas,0500000US05131,4.7,35703,19.3,2011,Sebastian County,Adopted,2014,43
Arkansas,0500000US05143,5.2,37449,18.8,2011,Washington County,Adopted,2014,44
Arkansas,0500000US05145,4.6,44626,17,2011,White County,Adopted,2014,45
Arkansas,0500000US05007,3,52294,15.1,2012,Benton County,Adopted,2014,35
Arkansas,0500000US05031,4,44111,16.8,2012,Craighead County,Adopted,2014,36
Arkansas,0500000US05045,4.7,49752,13.3,2012,Faulkner County,Adopted,2014,37
Arkansas,0500000US05051,5.4,40893,17,2012,Garland County,Adopted,2014,38
Arkansas,0500000US05069,4.9,36275,13.3,2012,Jefferson County,Adopted,2014,39
Arkansas,0500000US05085,5.8,51098,12.6,2012,Lonoke County,Adopted,2014,40
